,Symbol,Name,Exchange,Country,Sector,Revenue,RevenueYoY,LastClose,PE
1,AFM:AMAD,Amad for Inv and Real Estate Dev Co PSC,Amman Financial Market,Jordan,Real Estate,1488968.9265536724,0.2607817,1.08757062146893,19.55804
2,AFM:ASPMM,Arabian Steel Pipes Mfctrng Company PSC,Amman Financial Market,Jordan,Basic Materials,8430338.983050846,-0.4059106,0.94632768361582,
3,AFM:COHO,Contempro for Housing Projects PLC,Amman Financial Market,Jordan,Consumer Cyclicals,1129943.5028248588,-0.7269028,1.00282485875706,
4,AFM:DAIF,Dar Al Aman for Islamic Finance PLC,Amman Financial Market,Jordan,Financials,1121892.6553672317,13.18393,0.3954802259887,
5,AFM:JITC,Jordan International Trading Center Co,Amman Financial Market,Jordan,Industrials,10920240.11299435,-0.0389168,1.61016949152542,18.50349
6,AFM:JOMC,Jordanian Management and Cnsltncy Co PSC,Amman Financial Market,Jordan,Industrials,3318531.073446328,-0.1338463,2.03389830508475,9.68328
7,AFM:JRCD,Jordanian Real Estate for Development,Amman Financial Market,Jordan,Real Estate,594081.9209039548,0.0987722,0.6638418079096,80.06814
8,AFM:PROF,Almehanya for Rel Este Invmts+Hsg Co PSC,Amman Financial Market,Jordan,Real Estate,3213545.197740113,-0.1187548,0.62146892655367,758.6207
9,AFM:UCIC,United Cable Industries Company PSC,Amman Financial Market,Jordan,Industrials,44343418.07909605,-0.0695716,0.67796610169492,10.78894
10,AKT:FOLLI,Follicum AB,Spotlight Stock Market,Sweden,Healthcare,23783.65857895651,,0.04609415716023,
11,AMS:DGB,DGB Group NV,Euronext Amsterdam Stock Exchange,Netherlands,Utilities,1955896.6748597133,0.2477811,1.39127208644437,
12,ASE:AAMC,Altisource Asset Management Corp,Nyse American LLC,Virgin Islands (U.S.),Real Estate,0.0,,23.9,0.34295
13,ASE:DXF,Dunxin Financial Holdings Ltd (ADR),,China,Financials,16398400.006332237,-0.1083314,1.4991095888686,2.89924
14,ASE:MSN,Emerson Radio Corp,Nyse American LLC,United States,Technology,7445000.0,0.1830605,1.13,
15,ASX:BEL,Bentley Capital Limited,Australian Stock Exchange Ltd,Australia,Financials,8969049.84354377,24.44618,0.06302739096261,0.62021
16,ASX:CAU,Cronos Australia Ltd,Australian Stock Exchange Ltd,Australia,Healthcare,1255238.688437069,12.66847,0.12234728833919,
17,ASX:CCJ,County International Ltd,Australian Stock Exchange Ltd,Australia,Energy,1757.3519597811096,0.8372093,,
18,ASX:CDR,Codrus Minerals Ltd,Australian Stock Exchange Ltd,Australia,Basic Materials,0.0,,0.10010232682297,
19,ASX:CLT,Cellnet Group Limited,Australian Stock Exchange Ltd,Australia,Consumer Cyclicals,71288428.17101927,-0.000873,0.04819741661847,4.07013
20,ASX:EAI,Ellerston Asian Investments Ltd,Australian Stock Exchange Ltd,Australia,Financials,29497360.264566746,2.167427,0.80452610816983,5.7259
21,ASX:EQX,Equatorial Resources Ltd,Australian Stock Exchange Ltd,Australia,Basic Materials,118906.73429134968,-0.7713161,0.14829974344144,
22,ASX:EZZ,EZZ Life Science Holdings Ltd,Australian Stock Exchange Ltd,Australia,Healthcare,16525841.230294673,0.2871404,0.38557933294775,10.75491
23,ASX:FAR,FAR Ltd,Australian Stock Exchange Ltd,Australia,Energy,216628.85023208908,-0.3901182,0.59876021414483,
24,ASX:FOS,FOS Capital Ltd,Australian Stock Exchange Ltd,Australia,Consumer Cyclicals,6048345.716361911,0.4715156,0.18908217288784,10.1432
