""
"BOT:LETSHEGO","Letshego Holdings Ltd","Botswana Stock Exchange","Botswana","Financials","246879623.48633488144361","-0.0827142000","0.10821397273008","4.375740"
"BSE:COBJ","Constructii Bihor SA","Bucharest SE","Romania","Industrials","16839771.18206967693534","0.7651212000","2.29755708726028","n/a"
"BSE:ELJ","Electroaparataj SA","Bucharest SE","Romania","Industrials","2485532.42368828245885","-0.1289596000","0.02578890608149","8.154190"
"BSE:ELV","Elvila SA","Bucharest SE","Romania","Consumer Cyclicals","12196600.55328925774839","-0.2723091000","0.14887232147044","60.018900"
"BSE:UZIN","Uzinexport SA","Bucharest SE","Romania","Industrials","141320.86088057392038","-0.5206479000","0.14301120645192","n/a"
"BSE:UZT","Uztel SA","Bucharest SE","Romania","Energy","8270792.89163970553758","-0.4444955000","0.35166690111127","n/a"
"BSH:BFM","Bahrain Flour Mills Company BSC","Bahrain Stock Exchange","Bahrain","Consumer Non-Cyclicals","18719994.69284861350670","-0.0028806000","0.90221573570386","1.980890"
"BSH:NASS","Nass Corporation BSC","Bahrain Stock Exchange","Bahrain","Industrials","374671620.00796072707974","-0.0800670000","0.09818230065013","n/a"
"BTS:1SKF401E","Zentiva as","Bratislava Stock Exchange","Slovakia","Healthcare","131292028.01094467374670","-0.1895018000","34.78180216110931","5.958860"
"BTS:1TSR01AE","Sitno as v likvidacii","Bratislava Stock Exchange","Slovakia","Industrials","54203960.48787274497983","0.4519255000","n/a","n/a"
"BUE:PATR3","Patricios S.A.I.C.","Buenos Aires Stock Exchange","Argentina","Basic Materials","713885.92448864095723","0.4928469000","n/a","n/a"
"BUL:AKUM","Akumplast AD","Bulgarian Stock Exchange","Bulgaria","Basic Materials","3803593.66660736523750","-0.0613201000","90.73118662159758","1.841350"
"BUL:BGIG","Bulgarian Investment Group ADSITS Sofia","Bulgarian Stock Exchange","Bulgaria","Real Estate","5337.12862479985768","n/a","0.08895214374666","n/a"
